id_venda,data_venda,produto,categoria,quantidade,preco_unitario,forma_pagamento,loja
7044,15/12/2025,água de coco 500ml,Alimentos,2,"63,34",Cartão de Débito,Matriz - Recife
4573,10/05/2025,Caderno Universitário,Papelaria,1,"193,89",Pix,Matriz - Recife
5455,25/07/2025,Caderno Universitário,Papelaria,1,"210,16",Cartão de Débito,Matriz - Recife
3358,2024-12-27,Cola Bastão,Papelaria,2,"46,88",Cartão de Débito,Matriz - Recife
3403,29-12-2024,caderno universitário,Papelaria,2,"191,45",Pix,Matriz - Recife
6895,2025-12-04,Meia Esportiva,VESTUÁRIO,1,"15,25",Pix,Matriz - Recife
7086,17/12/2025,boné aba reta,Vestuário,1,"113,34",Cartão de Crédito,Matriz - Recife
3137,09/12/2024,Escova de Limpeza,,3,"221,70",Dinheiro,Matriz - Recife
1178,2024-05-28,Amendoim Torrado,Alimentos,1,"155,14",Pix,Matriz - Recife
4736,25/05/2025,Vela Aromática,Casa e Utilidades,4,"31,56",Cartão de Crédito,Matriz - Recife
270,2024-02-15,Suco de Caju 1L,Alimentos,3,"171,10",Pix,Matriz - Recife
1592,2024-07-01,Chinelo de Dedo,Vestuário,1,"136,99",pix,Matriz - Recife
1824,29/07/2024,Caderno Universitário,Papelaria,1,"213,23",Pix,Matriz - Recife
2809,15-11-2024,escova de limpeza,CASA E UTILIDADES,2,"199,84",Dinheiro,Matriz - Recife
1573,2024-06-30,Bermuda Jeans,Vestuário,3,"29,28",pix,Matriz - Recife
4097,26/03/2025,Marcador de Texto,Papelaria,2,"97,08",Cartão de Crédito,Matriz - Recife
93,2024-01-16,Cabo HDMI,Eletrônicos,2,"66,44",PIX,Matriz - Recife
5230,2025-06-30,Fone de Ouvido Bluetooth,,3,"158,26",Dinheiro,Matriz - Recife
5432,23-07-2025,organizador de gaveta,Casa e Utilidades,2,"31,20",Cartão de Crédito,Matriz - Recife
1529,27-06-2024,Vela Aromática,Casa e Utilidades,3,"30,29",Pix,Matriz - Recife
5364,2025-07-17,caneta esferográfica,Papelaria,2,"10,05",pix,Matriz - Recife
4590,12/05/2025,Mochila Escolar,Papelaria,1,"202,23",Cartão de Débito,Matriz - Recife
5169,2025-06-26,Jogo de Toalhas,Casa e Utilidades,4,"89,88",pix,Matriz - Recife
4163,31-03-2025,Marcador de Texto,PAPELARIA,2,"85,15",PIX,Matriz - Recife
2279,2024-09-21,Chinelo de Dedo,Vestuário,3,"125,39",pix,Matriz - Recife
3687,2025-02-06,Cola Bastão,Papelaria,1,"46,43",Dinheiro,Matriz - Recife
320,2024-02-24,Água de Coco 500ml,Alimentos,2,"63,33",Pix,Matriz - Recife
1076,20-05-2024,Caneta Esferográfica,Papelaria,1,"9,07",Dinheiro,Matriz - Recife
2059,25-08-2024,Caneta Esferográfica,Papelaria,3,"10,15",PIX,Matriz - Recife
512,2024-03-20,água de coco 500ml,Alimentos,2,"58,79",Dinheiro,Matriz - Recife
1791,25/07/2024,Suco de Caju 1L,Alimentos,1,"153,26",Cartão de Débito,Matriz - Recife
1931,09/08/2024,Boné Aba Reta,Vestuário,3,"115,58",,Matriz - Recife
1588,01/07/2024,Suco de Caju 1L,Alimentos,2,"163,71",PIX,Matriz - Recife
4974,09-06-2025,Bermuda Jeans,Vestuário,1,"28,54",pix,Matriz - Recife
6028,2025-09-25,Vela Aromática,Casa e Utilidades,1,"30,54",Pix,Matriz - Recife
1148,25-05-2024,Suco de Caju 1L,Alimentos,2,"155,57",PIX,Matriz - Recife
4802,29-05-2025,Cola Bastão,Papelaria,1,"42,06",pix,Matriz - Recife
6437,2025-11-04,Cola Bastão,Papelaria,1,"42,62",Cartão de Débito,Matriz - Recife
5194,27-06-2025,Água de Coco 500ml,ALIMENTOS,2,"59,73",PIX,Matriz - Recife
10,2024-01-02,Biscoito Recheado,ALIMENTOS,1,"59,51",Cartão de Débito,Matriz - Recife
5058,17/06/2025,Amendoim Torrado,Alimentos,3,"153,91",Dinheiro,Matriz - Recife
1181,29-05-2024,Café Torrado 500g,Alimentos,2,"14,33",Cartão de Crédito,Matriz - Recife
3052,2024-12-03,Barra de Cereal,Alimentos,2,"132,06",pix,Matriz - Recife
2502,13-10-2024,Barra de Cereal,Alimentos,1,"148,25",Dinheiro,Matriz - Recife
4988,10-06-2025,Meia Esportiva,Vestuário,2,"15,82",Dinheiro,Matriz - Recife
